date,open,high,low,close,adjclose,volume,ticker,BB_UPPER,BB_MIDDLE,BB_LOWER,pivot,s1,s2,s3,s4,r1,r2,r3,r4,14 period RSI,MACD,SIGNAL,14 period STOCH %K,14 period stochastic RSI.,MFV,14 period ATR,MOM,14 period MFI,ROC,OBV,20 period CCI,14 period EMV,VIm,VIp,ema60,ema20,ema10,ema5,ema5Vol,realGDP_(qrt),consumerPriceIndex_(mo),consumerSentiment_(mo),retailSales_(mo),fedFundRate_(d)
2008-05-28,36.3650016784668,36.4900016784668,36.13999938964844,36.34911666447518,26.008169174194336,5322000,CL,36.76111780745539,36.07649056485802,35.39186332226065,36.22901890603037,36.08576890603037,35.99726890603037,35.85401890603037,35.71076890603037,36.37226890603037,36.46076890603037,36.60401890603037,36.74726890603037,44.16927916487915,-0.4544331900152727,-0.580792850454075,87.58724679941866,0.35919347830144044,235864875.80301636,0.4541826663534531,0.8961511558862725,38.61464885307633,1.8050684542820727,-79449000.0,63.49106984276365,0.00016916751078828056,1.019099619882697,1.0120228308223151,0.9689554715838051,0.9819508051277888,0.9978361138243168,1.006131014828605,0.7275155939803725,3934.652,216.632,59.8,357277,2.08
2008-05-29,36.43000030517578,36.79999923706055,36.25,36.62973499934256,26.24022674560547,5061800,CL,36.82968714423446,36.10169730297181,35.37370746170915,36.326372577530144,36.19267170320153,36.110071163040395,35.976370288711784,35.842669414383174,36.460073451858754,36.54267399201989,36.6763748663485,36.810075740677114,49.92893037753273,-0.3822010957445272,-0.5410744995121655,88.21700528188006,0.38243915277985396,237792695.02483565,0.4566826554543181,0.9338458808235046,44.396754142439384,2.9940966666061186,-74387200.0,109.43963911665375,0.0037688983035655695,0.882920746111849,1.0666993852401563,0.9768132317845395,0.9900250756697371,1.0050333699800105,1.011555261303678,0.729395149570702,3934.652,216.632,59.8,357277,2.01
2008-05-30,36.78499984741211,37.25,36.685001373291016,37.014920713425816,26.547266006469727,12800000,CL,36.968901970212954,36.13725929770307,35.30561662519318,36.55991141213437,36.34981170357724,36.22001188363095,36.00991217507382,35.79981246651669,36.7700111206915,36.899810940637785,37.109910649194916,37.32001035775205,56.55427945599691,-0.2905263655400745,-0.49096487271774725,87.59476359960327,0.41245899684946924,239941289.07124412,0.4729814331349204,1.0011529097548646,54.03706353611273,4.405711010150909,-61587200.0,175.57469555732104,0.005826187763141835,0.771700574327665,1.1605718608463391,0.9872940944386163,1.0004150765062019,1.0141635071952406,1.0184255396274733,1.6168893193194256,3934.652,216.632,59.8,357277,1.98
2008-06-02,37.0,37.13999938964844,36.345001220703125,36.71047749576603,26.118846893310547,7952000,CL,36.97488059933826,36.13882795486878,35.3027753103993,36.983307362238946,36.76747788683611,36.6341382109328,36.41830873552996,36.20247926012713,37.19913683764178,37.332476513545096,37.54830598894793,37.764135464350765,50.82950249921156,-0.23967666134089427,-0.4407072304423767,71.52916232692243,0.43844379247713167,239300670.28651363,0.4997671474206347,0.5313471546647435,53.129296312343676,2.842311544274166,-69539200.0,120.2057289526883,0.004671352382533669,0.7967997541759169,1.1276684759331088,0.9795081388770054,0.9925560725859224,1.0052900507694158,1.0083602590679035,1.0037409403333868,3934.652,218.815,56.4,339791,2.06
2008-06-03,36.6349983215332,36.93999862670898,36.494998931884766,36.68564271467219,26.186676025390625,8187800,CL,36.98415368511018,36.14139846656928,35.29864324802838,36.73182603537253,36.42813673483542,36.240517166964324,35.936827866427215,35.63313856589011,37.035515335909636,37.22313490378073,37.52682420431784,37.83051350485495,50.38147702413913,-0.19908691367847808,-0.392383167089597,69.41154948869173,0.46463558057768317,238128394.93905753,0.5040526873201878,0.6039029714726638,53.536032997911185,1.865605716857968,-77727000.0,114.05124191250006,0.004684885135330097,0.8190757405488854,1.1506732099567651,0.9791850744071153,0.9922680639511374,1.0041891245083716,1.0063902387043702,1.0277656095526657,3934.652,218.815,56.4,339791,1.95
2008-06-04,36.6349983215332,37.290000915527344,36.400001525878906,37.077192066721,26.59366798400879,6785200,CL,37.07504651840907,36.16176953463021,35.24849255085135,36.70688009108864,36.53689020766579,36.43187027968728,36.26188039626443,36.09189051284158,36.87686997451149,36.98188990249,37.151879785912854,37.321869669335705,56.84059420510508,-0.13378232644416244,-0.3406629989605101,87.59132187334072,0.4910240449428612,241668759.9027297,0.533338390706767,1.1296705710072317,52.988767033440524,2.4822645463079844,-70941800.0,146.0346190957251,0.0054782154283134115,0.801554470046027,1.1229807087818595,0.9898041789818887,1.0027221392790473,1.0135334148413824,1.0142356347734427,0.8732896036374517,3934.652,218.815,56.4,339791,1.98
2008-06-05,37.3650016784668,37.58000183105469,36.959999084472656,37.38715794045087,26.790021896362305,8674000,CL,37.288479217205655,36.22353086038906,35.15858250357247,36.92239816937575,36.582418402530045,36.37237854657301,36.03239877972731,35.69241901288161,37.26237793622145,37.47241779217848,37.812397559024184,38.152377325869885,61.15192092913855,-0.05636655647364819,-0.28380371046313774,90.38185596653584,0.5149206928796367,244946887.33178067,0.5408383580093619,1.5674019189828314,52.97739466803538,3.617946935325865,-62267800.0,180.21160978264274,0.006640142752405168,0.8010049235719536,1.1648581667183158,0.9981103895558557,1.0105705161456084,1.01996602799388,1.0188574928047385,1.0951441721902258,3934.652,218.815,56.4,339791,1.98
2008-06-06,37.28499984741211,37.28499984741211,36.31499862670898,36.65764823662745,25.95104217529297,7465400,CL,37.33242941913725,36.25955925811672,35.186689097096185,37.30905295199273,37.072211902798394,36.92589125460504,36.6890502054107,36.45220915621636,37.54589400118707,37.692214649380425,37.929055698574764,38.165896747769104,48.7972155117546,-0.053265327810592566,-0.2376960339326287,53.997351468032996,0.5256241849771686,242755741.30855635,0.5870640777723152,0.6592208961294261,46.47169511922205,1.9754539711405676,-69733200.0,77.99363777032987,0.0008260844365290676,0.8735965699034266,1.0165596979683773,0.9789778369348897,0.9912837782507402,1.000058306678002,0.999147548531376,0.9516632036870034,3934.652,218.815,56.4,339791,2.01
2008-06-09,36.494998931884766,36.52000045776367,36.130001068115234,36.51229500504586,26.02602767944336,5067200,CL,37.345313027072216,36.29994282015962,35.25457261324703,36.75254890358285,36.38200843727425,36.153088149188314,35.782547682879716,35.41200721657112,37.123089369891446,37.35200965797738,37.72255012428598,38.09309059059458,46.769695564005474,-0.06182370755618649,-0.20252156865734025,46.74781759530386,0.5355923130548002,247622709.86692816,0.5933246879011175,0.4637670165194905,47.94512243542039,1.9333994993231,-74800400.0,15.823368206625979,-0.001572449676094083,0.9444360591710477,0.985367653085941,0.9754942956741257,0.9879481564208049,0.9964468481247889,0.9959849236958221,0.6864557377705474,3934.652,218.815,56.4,339791,2.02
2008-06-10,36.14500045776367,37.5,36.14500045776367,36.969189142382895,26.536544799804688,6730800,CL,37.39611329419729,36.37015788343192,35.34420247266655,36.38743217697492,36.23845241012921,36.14641255417219,35.99743278732648,35.848453020480775,36.536411943820625,36.62845179977765,36.777431566623356,36.92641133346906,53.33343731176329,-0.03137705158574988,-0.1682926652430222,69.53554297873885,0.5523271584684621,249080029.53120407,0.6522533138253641,0.7971318139402257,54.57448883716483,2.696678365148379,-68069600.0,85.44889525748017,0.006178320338706242,0.8344701344298168,1.0058538803212613,0.9879002597615468,1.0002959755680556,1.0080987252525289,1.0070301961547488,0.9254243207292104,3934.652,218.815,56.4,339791,1.96
2008-06-11,37.0,37.27999877929688,36.775001525878906,36.9207578108301,26.347339630126957,5101200,CL,37.400953436056916,36.44354749854398,35.48614156103104,36.87139653338219,36.35378670824791,36.03400681628014,35.51639699114586,34.99878716601158,37.38900635851647,37.70878625048424,38.22639607561852,38.744005900752796,52.593121558273225,-0.011028728751746542,-0.13683987794476707,67.12001650730816,0.5696676489824137,246923526.5795963,0.6451102931954819,0.5716411463549207,62.619097658140014,2.4195989988311113,-73170800.0,94.59477619223419,0.007821162384505975,0.8558890321071675,1.0850861090982264,0.9868227444964306,0.9990338028593254,1.006158087037428,1.0047545915183234,0.7381058939194365,3934.652,218.815,56.4,339791,1.95
