,open,high,low,close,adjclose,volume,ticker
2002-05-31,61.630001068115234,62.189998626708984,61.33000183105469,61.349998474121094,35.52370834350586,5661300,JNJ
2002-06-03,61.099998474121094,61.7400016784668,60.0,60.04999923706055,34.77098083496094,6301700,JNJ
2002-06-04,59.5,59.93000030517578,58.790000915527344,59.400001525878906,34.39459228515625,10291000,JNJ
2002-06-05,59.18000030517578,59.75,58.810001373291016,59.61000061035156,34.51620864868164,6962200,JNJ
2002-06-06,59.86000061035156,59.9900016784668,58.349998474121094,58.75,34.01822280883789,6153800,JNJ
2002-06-07,57.900001525878906,58.65999984741211,57.72999954223633,58.310001373291016,33.76346206665039,8501800,JNJ
2002-06-10,58.560001373291016,59.470001220703125,58.150001525878906,59.0,34.162986755371094,5136700,JNJ
2002-06-11,58.75,58.75,56.9900016784668,57.4900016784668,33.28863525390625,8911200,JNJ
2002-06-12,57.849998474121094,57.97999954223633,56.20000076293945,57.2400016784668,33.14387512207031,8400400,JNJ
2002-06-13,56.650001525878906,58.279998779296875,56.54999923706055,57.40999984741211,33.24231719970703,6887100,JNJ
2002-06-14,57.0,57.630001068115234,56.310001373291016,56.81999969482422,32.90068435668945,8495000,JNJ
2002-06-17,56.810001373291016,57.63999938964844,56.709999084472656,57.45000076293945,33.265472412109375,5789700,JNJ
2002-06-18,57.0,57.25,56.13999938964844,56.459999084472656,32.69224548339844,9990800,JNJ
2002-06-19,56.099998474121094,56.95000076293945,56.06999969482422,56.369998931884766,32.6401252746582,9376000,JNJ
2002-06-20,55.900001525878906,56.25,54.93000030517578,55.040000915527344,31.87001609802246,10125100,JNJ
2002-06-21,54.25,54.849998474121094,52.5,53.0,30.688793182373047,19734200,JNJ
2002-06-24,53.099998474121094,54.81999969482422,52.150001525878906,54.130001068115234,31.343093872070312,10291000,JNJ
2002-06-25,54.540000915527344,55.29999923706055,53.02000045776367,53.34000015258789,30.88566017150879,9529700,JNJ
2002-06-26,52.099998474121094,54.70000076293945,52.0,54.13999938964844,31.348857879638672,10219700,JNJ
2002-06-27,54.13999938964844,54.47999954223633,53.20000076293945,54.40999984741211,31.50520896911621,9805300,JNJ
2002-06-28,53.849998474121094,54.33000183105469,52.25,52.2599983215332,30.26029396057129,14696800,JNJ
2002-07-01,51.70000076293945,52.25,50.2599983215332,50.5,29.24119758605957,11162500,JNJ
2002-07-02,51.349998474121094,52.0,50.54999923706055,51.61000061035156,29.883913040161133,13270100,JNJ
2002-07-03,52.0,53.099998474121094,51.54999923706055,52.95000076293945,30.65983009338379,9639300,JNJ
2002-07-05,52.95000076293945,54.849998474121094,52.790000915527344,54.59000015258789,31.60944366455078,4462400,JNJ
2002-07-08,54.599998474121094,54.75,53.45000076293945,53.58000183105469,31.024621963500977,9284600,JNJ
2002-07-09,53.68000030517578,54.0,52.099998474121094,52.619998931884766,30.46875762939453,9961700,JNJ
2002-07-10,52.099998474121094,52.099998474121094,49.790000915527344,50.29999923706055,29.12537384033203,16242700,JNJ
2002-07-11,49.099998474121094,51.150001525878906,49.099998474121094,50.97999954223633,29.519123077392578,15809200,JNJ
2002-07-12,51.380001068115234,51.380001068115234,49.439998626708984,50.5,29.24119758605957,9013200,JNJ
2002-07-15,49.5,49.689998626708984,45.560001373291016,49.0,28.372655868530273,20573100,JNJ
2002-07-16,49.400001525878906,51.849998474121094,48.79999923706055,50.099998474121094,29.009586334228516,13834600,JNJ
2002-07-17,51.70000076293945,52.29999923706055,50.11000061035156,51.2400016784668,29.669679641723633,9856000,JNJ
2002-07-18,50.81999969482422,51.349998474121094,49.54999923706055,49.72999954223633,28.795351028442383,10158700,JNJ
2002-07-19,41.5,44.099998474121094,41.45000076293945,41.849998474121094,24.232553482055664,50702400,JNJ
